symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2024-06-28 04:00:00+00:00,199.55,203.2,195.26,197.88,95205166.0,1062285.0,199.382161
TSLA,2024-07-01 04:00:00+00:00,201.02,213.23,200.85,209.86,135691395.0,1561630.0,209.208978
TSLA,2024-07-02 04:00:00+00:00,218.89,231.3,218.06,231.26,205047920.0,2267405.0,227.24125
TSLA,2024-07-03 04:00:00+00:00,234.56,248.35,234.25,246.39,166561471.0,1985685.0,242.646865
TSLA,2024-07-05 04:00:00+00:00,249.81,252.37,242.4601,251.52,154501152.0,1719319.0,247.976076
TSLA,2024-07-08 04:00:00+00:00,247.71,259.439,244.57,252.94,157219580.0,1689276.0,252.720729
TSLA,2024-07-09 04:00:00+00:00,251.0,265.61,250.3,262.33,160742516.0,1651527.0,260.331286
TSLA,2024-07-10 04:00:00+00:00,262.8,267.59,257.86,263.26,128519430.0,1420791.0,263.450029
TSLA,2024-07-11 04:00:00+00:00,263.3,271.0,239.65,241.03,221707273.0,2469329.0,252.919859
TSLA,2024-07-12 04:00:00+00:00,235.8,251.84,233.0912,248.23,155955773.0,1717924.0,247.117343
TSLA,2024-07-15 04:00:00+00:00,255.97,265.6,251.73,252.64,146912920.0,1684907.0,259.455378
TSLA,2024-07-16 04:00:00+00:00,255.31,258.62,245.8001,256.56,126332470.0,1351343.0,252.971113
TSLA,2024-07-17 04:00:00+00:00,252.73,258.47,246.182,248.5,115584810.0,1328854.0,250.703005
TSLA,2024-07-18 04:00:00+00:00,251.09,257.14,247.2,249.23,110869037.0,1262136.0,252.307059
TSLA,2024-07-19 04:00:00+00:00,247.79,249.44,236.83,239.2,87403903.0,1169238.0,241.524185
TSLA,2024-07-22 04:00:00+00:00,244.21,253.21,243.75,251.51,101225430.0,1216659.0,249.677257
TSLA,2024-07-23 04:00:00+00:00,253.6,255.7594,245.63,246.38,111928192.0,1425797.0,248.800826
TSLA,2024-07-24 04:00:00+00:00,225.42,225.99,214.71,215.99,167942939.0,2100837.0,219.039313
TSLA,2024-07-25 04:00:00+00:00,216.8,226.0,216.231,220.25,100636466.0,1290153.0,222.389696
TSLA,2024-07-26 04:00:00+00:00,221.19,222.2799,215.33,219.8,94604145.0,1067581.0,219.059243
TSLA,2024-07-29 04:00:00+00:00,224.9,234.27,224.7,232.1,129201789.0,1303488.0,230.956988
TSLA,2024-07-30 04:00:00+00:00,232.25,232.41,220.0,222.62,100560334.0,1153965.0,225.424534
TSLA,2024-07-31 04:00:00+00:00,227.9,234.68,226.7875,232.07,67497011.0,892321.0,231.55498
TSLA,2024-08-01 04:00:00+00:00,227.69,231.867,214.3328,216.86,83861898.0,1133352.0,221.946165
TSLA,2024-08-02 04:00:00+00:00,214.88,216.13,205.78,207.67,82880120.0,1192035.0,209.75854
